Q0	'Ndrangheta
Q580	Airline (Belarus)
Q581	Airline (Cambodia)
Q582	Airline (Cameroon)
Q583	Airline (Canada)
Q584	Airline (China)
Q585	Airline (Dominican Republic)
Q586	Airline (Fiji)
Q587	Airline (France)
Q588	Airline (Germany)
Q589	Airline (Guyana)
Q590	Airline (India)
Q591	Airline (Iran)
Q592	Airline (Iraq)
Q593	Airline (Ireland)
Q594	Airline (Italy)
Q595	Airline (Japan)
Q596	Airline (Namibia)
Q597	Airline (Nepal)
Q598	Airline (Netherlands)
Q599	Airline (New Zealand)
Q600	Airline (Nigeria)
Q601	Airline (Pakistan)
Q602	Airline (Philippines)
Q603	Airline (Poland)
Q604	Airline (Russia)
Q605	Airline (Singapore)
Q606	Airline (South Korea)
Q607	Airline (Sri Lanka)
Q608	Airline (Sudan)
Q609	Airline (Syria)
Q610	Airline (Thailand)
Q611	Airline (Turkey)
Q612	Airline (Ukraine)
Q613	Airline (United Kingdom)
Q614	Airline (United States)
Q615	Airline (Uzbekistan)
Q616	Airline (Vietnam)
Q617	Airman (China)
Q618	Airman (Philippines)
Q619	Aissata Tall Sall
Q620	Aivars Lembergs
Q621	Ajay Maken
Q622	Ajay Rai
Q623	Ajay Sharma
Q624	Ajit Doval
Q625	Ajit Singh
Q626	Ajith Rohana
Q627	Akali Dal
Q628	Akali Leader
Q629	Akali Party
Q630	Akhilesh Yadav
Q631	Akinwumi Adesina
Q632	Akio Toyoda
Q633	Akira Amari
Q634	Akram Chehayeb
Q635	Akshay Kumar
Q636	Aksyon Demokratiko
Q637	Al Anbaa
Q638	Al Arabiya
Q639	Al Badr
Q640	Al Ekhbariya
Q641	Al Gore
Q642	Al Jazeera
Q643	Al Mezan Center for Human Rights
Q644	Al Mubarak Air Base
Q645	Al Qaeda
Q646	Al Qaeda in the Arabian Peninsula
Q647	Al Quds al Arabi
Q648	Al Ra'i
Q649	Al Rai
Q650	Al Sharq al Awsat
Q651	Al Sharqiya
Q652	Al Wafa
Q653	Al Wefaq National Islamic Society
Q654	Al-Ahram
Q655	Al-Akhbar
Q656	Al-Alam
Q657	Al-Azhar University
Q658	Al-Baath Party
Q659	Al-Badr
Q660	Al-Ittihad
Q661	Al-Jaysh al-Sha'bi
Q662	Al-Marada Movement
Q663	Al-Mourabitoun
Q664	Al-Mustaqbal
Q665	Al-Nahda
Q666	Al-Quds
Q667	Al-Shabaab
Q668	Al-Wafd Newspaper
Q669	Al-Watan
Q670	Al-Watan (Syria)
Q671	Alaa Abdel Fattah
Q672	Alaa Youssef
Q673	Aladdin Boroujerdi
Q674	Alain Berset
Q675	Alain Richard
Q676	Alamine Ousmane Mey
Q677	Alan Dershowitz
Q678	Alan Gross
Q679	Alan Peter Cayetano
Q680	Alan Shatter
Q681	Alassane Ouattara
Q682	Alawi
Q683	Alban Kingsford Sumana Bagbin
Q684	Albania
Q685	Albert Esteve García
Q686	Albert II
Q687	Albert Kan-Dapaah
Q688	Albert Kawana
Q689	Albert Mabri Toikeusse
Q690	Albert Murasira
Q691	Albert Pahimi Padacké
Q692	Albert R. Ramdin
Q693	Albert del Rosario
Q694	Alberta Health Services
Q695	Alberto Carrasquilla
Q696	Alberto Fernández
Q697	Alberto Fujimori
Q698	Alberto Nisman
Q699	Alberto Rodríguez Saá
Q700	Albin Kurti
Q701	Albio Sires
Q702	Alejandro Aguinaga
Q703	Alejandro Encinas Rodríguez
Q704	Alejandro Gertz Manero
Q705	Alejandro Giammattei
Q706	Alejandro Toledo
Q707	Aleksandar Vulin
Q708	Aleksandar Vučić
Q709	Aleksandr Ivanov
Q710	Alena Schillerová
Q711	Ales Hojs
Q712	Alex Badeh
Q713	Alex Salmond
Q714	Alex Tamba Brima
Q715	Alexander Bastrykin
Q716	Alexander Botsan Kharchenko
Q717	Alexander Cummings
Q718	Alexander De Croo
Q719	Alexander Dmitriyevich Zhukov
Q720	Alexander Downer
Q721	Alexander Grushko
Q722	Alexander Lukashenko
Q723	Alexander Lukashevich
Q724	Alexander M. Azar
Q725	Alexander Novak
Q726	Alexander Panin
Q727	Alexander Schallenberg
Q728	Alexander Van der Bellen
Q729	Alexander Vasilyevich Bortnikov
Q730	Alexandra Hill Tinoco
Q731	Alexandre Barro Chambrier
Q732	Alexandria
Q733	Alexandru Tanase
Q734	Alexei Leonidovich Kudrin
Q735	Alexei Meshkov
Q736	Alexei Miller
Q737	Alexei Navalny
Q738	Alexei Pushkov
Q739	Alexis Thambwe-Mwamba
Q740	Alexis Tsipras
Q741	Alfa-Bank
Q742	Alfonso López Caballero
Q743	Alfonso Prat Gay
Q744	Alfred Mutua
Q745	Alfred Romualdez
Q746	Alfredo Castillo
Q747	Alfredo Rangel
Q748	Alfredo Torres
Q749	Algeria
Q750	Algerian National Front
Q751	Algerian People's National Army
Q752	Alhaji Aliko Dangote
Q753	Alhaji Lai Mohammed
Q754	Ali Abd-al-Aziz al-Isawi
Q755	Ali Abdel-Karim Ali
Q756	Ali Abdul-Amir Allawi
Q757	Ali Abdullah Saleh
Q758	Ali Ahmad Jalili
Q759	Ali Akbar Salehi
Q760	Ali Akbar Velayati
Q761	Ali Ardashir Larijani
Q762	Ali Asadov
Q763	Ali Babacan
Q764	Ali Bongo Ondimba
Q765	Ali El Khalil
Q766	Ali Fayyad
Q767	Ali Haider Gilani
Q768	Ali Hassan Khalil
Q769	Ali Hassan Mwinyi
Q770	Ali Karimli
Q771	Ali Kushayb
Q772	Ali Larayedh
Q773	Ali Mahdi Muhammad
Q774	Ali Mariama Elhadj Ibrahim
Q775	Ali Mohsen al-Ahmar
Q776	Ali Motahhari
Q777	Ali Ndume
Q778	Ali Rabiei
Q779	Ali Roba
Q780	Ali Saleh Abdullah Al-Saleh
Q781	Ali Sayyid Abdullah
Q782	Ali Shamkhani
Q783	Ali Sharif al-Emadi
Q784	Ali Younesi
Q785	Alibaba Group Holding Ltd
Q786	Alicia Margarita Kirchner
Q787	Alioune Badara Cissé
Q788	Alioune Sarr
Q789	Alistair Darling
Q790	Alitalia
Q791	Aliyu Magatakarda Wamakko
Q792	All Basotho Convention
Q793	All India Radio
Q794	All Nigeria Peoples Party
Q795	All Nippon Airways Co.
Q796	All Parties Freedom Conference
Q797	All Progressives Congress
Q798	All Progressives Grand Alliance
Q799	Allan Wagner Tizón
Q800	Alleged Militants (Egypt)
Q801	Alleged Militants (India)
Q802	Alliance Party (India)
Q803	Alliance Party (United Kingdom)
Q804	Alliance for Democracy
Q805	Alliance for Patriotic Reorientation and Construction
Q806	Alliance for Progress
Q807	Alliance for the Future of Kosovo
Q808	Alliance for the Republic-Yakaar
Q809	Alliance of the New Citizen
Q810	Allied Democratic Forces
Q811	Almazbek Atambayev
Q812	Alois Philipp Maria
Q813	Alok P Singh
Q814	Alpha Barry
Q815	Alpha Condé
Q816	Alternative Democratic Pole
Q817	Alternative Information and Development Centre
Q818	Alva Baptiste
Q819	Alvaro Leyva
Q820	Alvaro Lopez Miera
Q821	Alvaro Uribe Velez
Q822	Alwasat
Q823	Amade Miquidade
Q824	Amado Boudou
Q825	Amadou Gon Coulibaly
Q826	Amadou Sanogo
Q827	Amadou Toumani Touré
Q828	Amal Clooney
Q829	Amal Movement
Q830	Amanda Knox
Q831	Amar Singh
Q832	Amarinder Singh
Q833	Amartya Sen
Q834	Amazon.com
Q835	Amba
Q836	Amber Rudd
Q837	Ambika Soni
Q838	Ambrose Dery
Q839	Ameer Haider Hoti
Q840	American Chamber of Commerce
Q841	American Enterprise Institute
Q842	American Indian
Q843	American Institute in Taiwan
Q844	American Popular Revolutionary Alliance
Q845	American Red Cross
Q846	American University in Cairo
Q847	Americares
Q848	Amerisourcebergen
Q849	Ami Bera
Q850	Amin Gemayel
Q851	Amina Mohamed
Q852	Aminata Mbengue Ndiaye
Q853	Aminatou Ali Ahmed Haidar
Q854	Aminu Tambuwal
Q855	Amir Ali Hajizadeh
Q856	Amir Hatami
Q857	Amir Khan Motaqi
Q858	Amir Peretz
Q859	Amit Kumar
Q860	Amit Shah
Q861	Amitabh Bachchan
Q862	Ammar Rizvi
Q863	Ammar al-Hakim
Q864	Amnesty International
Q865	Amos Har'el
Q866	Amos Masondo
Q867	Amos Sawyer
